ID,City,Club,Stadium,Cap,Country,Trivia Page link,Trivia
67,Barnsley,Barnsley,Oakwell Stadium,"23,287",England,https://www.stadiumguide.com/oakwell/,"Oakwell Stadium was built in 1888. It got extensively redeveloped in the 1990s, with only the original main stand from the early 20th century left standing."
68,Birmingham,Aston Villa,Villa Park,"42,785",England,https://www.stadiumguide.com/villapark/,"In the late 19th century, Villa Park was part of a pleasure ground that consisted of a football and cricket pitch, athletics track, and a small grandstand. Aston Villa at that time still played their home matches at the Perry Barr ground, but in 1897 moved to the superior Villa Park."
69,Birmingham,Birmingham City,St Andrew's Stadium,"30,009",England,https://www.stadiumguide.com/standrews/,"St. Andrew’s Stadium opened on the 26th of December 1906 with a league match between Birmingham City and Middlesbrough. The stadium consisted of one covered main stand and open terraces on the other sides, with an estimated capacity of 75,000 spectators."
70,Blackburn,Blackburn Rovers,Ewood Park,"31,154",England,https://www.stadiumguide.com/ewoodpark/,"Ewood Park developed quickly in the early 20th century when new stands were built and the capacity of the stadium quickly rose. It recorded its highest capacity on the 2nd of March 1929 when 62,522 visitors saw Blackburn play Bolton in an FA Cup match."
71,Blackpool,Blackpool,Bloomfield Road,"16,007",England,https://www.stadiumguide.com/bloomfieldroad/,"Football was first played at the site of Bloomfield Road in 1887. In 1899, a first modest stadium was built with the first match played on the 21st of October of that year between South Shore FC and the 1st South Lancashire Regimen. South Shore FC would soon after merge with Blackpool FC."
72,Bolton,Bolton Wanderers,University of Bolton Stadium,"28,100",England,https://www.stadiumguide.com/reebok/,Macron Stadium is particularly known for its characteristic roof structure. It was one of the first modern stadiums in the UK.
73,Bournemouth,Bournemouth,Vitality Stadium,"11,464",England,https://www.stadiumguide.com/vitality-stadium-dean-court/,"The Vitality Stadium, better known as Dean Court, was built in 1910, though initially consisted of nothing more than a small single stand."
74,Bradford,Bradford City,Coral Windows Stadium,"25,136",England,https://www.stadiumguide.com/valleyparade/,"Valley Parade was then still a modest stadium, but this changed in 1908 when the club promoted to Division One and hired Archibald Leitch to rebuild the stadium."
75,Brighton,Brighton & Hove Albion,The Amex,"31,800",England,https://www.stadiumguide.com/falmer/,"The Amex, officially called the American Express Community Stadium and also referred to as Falmer Stadium, officially opened on the 30th of July 2011 with a friendly match between Brighton and Tottenham Hotspur (2-3)."
76,Bristol,Bristol City,Ashton Gate Stadium,"27,000",England,https://www.stadiumguide.com/ashtongate/,"Ashton Gate Stadium was the home of Bedminster FC until they in 1900 merged with Bristol City. The merged club first moved to Bristol City’s ground at St John’s Lane, but in 1904 back to Ashton Gate."
77,Bristol,Bristol Rovers,Memorial Stadium,"11,000",England,https://www.stadiumguide.com/memorial-stadium/,The stadium opened on 24 September 1921. For a large part of its history it consisted of wooden stands. During the 1980s and 1990s several new stands were built by Bristol Rugby. 
78,Burnley,Burnley,Turf Moor,"21,401",England,https://www.stadiumguide.com/turfmoor/,"Burnley moved to Turf Moor in 1883, nine months after the club had formed. The first match played at the ground was against Rawtenstall (3-6), though at that point the stadium was nothing more than a pitch next to a cricket ground."
79,Bury,Bury,Gigg Lane,"11,840",England,https://www.stadiumguide.com/gigg-lane/,"The Energy Check Stadium at Gigg Lane, more commonly known as Gigg Lane, has been the home of Bury since they were founded in 1885. The first game at the ground was a friendly between Bury and Wigan (4-3) on 12 September 1885."
80,Coventry,Coventry City,Coventry Building Society Arena,"32,604",England,https://www.stadiumguide.com/ricoharena/,"Plans for the move were announced as early as 1997, but due to several delays the stadium opened four years later than initially planned. This also meant that the proposed capacity of 45,000 was later scaled back to just over 30,000."
81,Dagenham,Dagenham & Redbridge,Victoria Road,"6,078",England,https://www.stadiumguide.com/london-borough-barking-dagenham-stadium/,"The London Borough of Barking & Dagenham Stadium, more commonly known as Victoria Road, was first used in 1917 by a local factory side. It was initially not much more than a pitch with a few bare banks and it took until 1955 when Dagenham moved in before it got significantly developed."
82,Derby,Derby County,The iPro Stadium,"33,010",England,https://www.stadiumguide.com/prideparkstadium/,"The iPro Stadium, previously known as Pride Park Stadium, replaced Derby’s old Baseball Ground, which Derby left after further renovations to turn it into an all-seater turned out to be impractical."
83,Doncaster,Doncaster Rovers,Keepmoat Stadium,"15,231",England,https://www.stadiumguide.com/keepmoat-stadium/,Keepmoat Stadium was built to provide Doncaster Rovers with a modern replacement for their old Belle Vue ground.
84,Fleetwood,Fleetwood Town,Highbury Stadium,"5,094",England,https://www.stadiumguide.com/highbury-stadium-fleetwood/,"First football got played at Highbury Stadium in 1939, however due to the outbreak of World War 2 and the suspension of all football, it took seven years for the second match to be played at the ground."
85,Gillingham,Gillingham FC,Priestfield Stadium,"10,500",England,https://www.stadiumguide.com/priestfield-stadium/,"Priestfield Stadium, officially MEMS Priestfield Stadium for sponsorship reasons, has been the home of Gillingham since 1893."
86,Huddersfield,Huddersfield Town,John Smith's Stadium,"24,554",England,https://www.stadiumguide.com/johnsmithsstadium/,"The John Smith’s Stadium, also known as Kirklees Stadium, was one of the first modern-era stadiums to be built in England. It replaced Huddersfield’s old Leeds Road."
87,Hull,Hull City,MKM Stadium,"25,586",England,https://www.stadiumguide.com/kcstadium/,"Construction of the MKM Stadium cost £44 million and was financed by the city of Hull, who therefore also own the stadium. The stadium is easily expandable to a capacity of about 30,000."
88,Ipswich,Ipswich Town,Portman Road,"30,311",England,https://www.stadiumguide.com/portmanroad/,"In the early 20th century a first small wooden stand got built, but it took until 1936 when Ipswich turned professional that proper terraces were built."
89,Leeds,Leeds United,Elland Road,"39,460",England,https://www.stadiumguide.com/ellandroad/,"Elland Road opened in 1897, however in the first years of its existence it was only used for rugby matches. In 1904 newly formed football club Leeds City moved into the ground, and in the following years the stadium got gradually expanded."
90,Leicester,Leicester City,King Power Stadium,"32,312",England,https://www.stadiumguide.com/kingpowerstadium/,"Leicester City first presented plans to replace the aged Filbert Street ground in the mid 1990s, but it took until 2000 for the final plans to get unveiled. Construction of the new stadium started in 2001 and works finished in time for the start of the 2002-03 season."
91,Liverpool,Everton,Goodison Park,"40,157",England,https://www.stadiumguide.com/goodison/,"Goodison Park officially opened on 24 August 1892 with an athletics event. The first match, between Everton and Bolton (4-2), was played 9 days later. Everton had previously played at Anfield, but a dispute over the rent drove them out."
92,Liverpool,Liverpool,Anfield,"54,074",England,https://www.stadiumguide.com/anfield/,"Anfield was built in 1884, but got initially rented by Everton FC. The first game at the ground, on the 28th of September 1884, saw Everton beat Earlstown 5-0."
93,London,Arsenal,Emirates Stadium,"60,361",England,https://www.stadiumguide.com/emirates/,"Club: Arsenal FC | Opening: 2006 | Capacity: 60,361 seats"
94,London,Brentford,Brentford Community Stadium,"17,250",England,https://www.stadiumguide.com/brentford-community-stadium/,Brentford Community Stadium is the recently opened new home of London club Brentford FC. 
95,London,Charlton Athletic,The Valley,"27,111",England,https://www.stadiumguide.com/valley/,"Charlton Athletic had already played at various ground when they first moved to The Valley in 1919. The stadium was built with the help of their fans, though initially only consisted of a pitch and large earth banks, giving it the appearance of a valley."
96,London,Chelsea,Stamford Bridge,"41,837",England,https://www.stadiumguide.com/stamfordbridge/,"Stamford Bridge officially opened on the 28th of April 1877, but for the next 28 years mainly served as an athletics venue."
97,London,Crystal Palace,Selhurst Park,"26,225",England,https://www.stadiumguide.com/selhurstpark/,Selhurst Park was built in the early 1920s after Crystal Palace had bought a piece of land from the Brighton Railway Company and architect Archibald Leitch had been hired to design the new stadium.
98,London,Fulham,Craven Cottage,"25,700",England,https://www.stadiumguide.com/cravencottage/,"Craven Cottage has a history that dates back to 1780 when a cottage was built in the woods and the surrounding fields were used for various sports. The site, however, later fell into disuse and the original cottage burned down in 1888."
99,London,Leyton Orient,The Matchroom Stadium,"9,271",England,https://www.stadiumguide.com/matchroomstadium/,"The Matchroom Stadium, commonly referred to as Brisbane Road, became the home of Leyton Orient in 1937. The site had earlier been used by amateur club Leyton FC, whereas Leyton Orient had played at a stadium on Lea Bridge Road."
100,London,Millwall,The Den,"19,734",England,https://www.stadiumguide.com/den/,"The Den, previously called The New Den, was one of the first stadiums to be built following the Taylor Report and complying with the report’s recommendations. It replaced The Old Den, which was located in the same area."
101,London,Queens Park Rangers,Loftus Road,"18,439",England,https://www.stadiumguide.com/loftusroad/,"Loftus Road was built in 1904, but it was only in 1917 that QPR moved to the ground. QPR brought one covered seating stand from their previous ground at Park Royal, and the rest of the stadium consisted of open terraces."
102,London,Tottenham Hotspur,Tottenham Hotspur Stadium,"62,303",England,https://www.stadiumguide.com/newtottenhamhotspurstadium/,"For years the club had been looking for ways to increase revenue by either refurbishing White Hart Lane, building a brand new stadium, or moving to an already existing stadium, which at different points in time was either Wembley Stadium or London Olympic Stadium."
103,London,West Ham United,London Stadium,"60,000",England,https://www.stadiumguide.com/london-olympic-stadium/,"London Stadium, also known as London Olympic Stadium, got built to serve as the centerpiece stadium for the 2012 London Summer Olympics, during which it hosted the athletics events and opening and closing ceremonies."
104,London,--,Wembley Stadium,"90,000",England,https://www.stadiumguide.com/wembleynew/,"Wembley Stadium is, after Camp Nou, the second largest stadium in Europe and the standard playing venue of the English national team. It also hosts the annual League Cup final, FA Cup final, and the Community Shield."
105,Luton,Luton Town,Kenilworth Road,"10,226",England,https://www.stadiumguide.com/kenilworth-road/,"Luton Town moved to Kenilworth Road in 1905 about 20 years after the club was formed. The principal stand was a wooden main stand, which  burnt down in the 1920s and got replaced by the present main stand."
106,Manchester,Manchester City,Etihad Stadium,"55,000",England,https://www.stadiumguide.com/cityofmanchester/,"Etihad Stadium, also known as Eastlands, was built for the 2002 Commonwealth Games. Following the games, the stadium was converted into a football stadium as to provide Manchester City with a modern replacement for Maine Road. The club moved into Etihad Stadium at the start of the 2003-04 season."
107,Manchester,Manchester United,Old Trafford,"75,811",England,https://www.stadiumguide.com/oldtrafford/,"In the first decade of the 20th century, Manchester United played their home matches at a 50,000-stadium at Bank Street, when then president Davies began planning for a new stadium with double that capacity. A site was chosen near Trafford Park industrial estate, and architect Archibald Leitch was appointed to design the stadium."
108,Middlesbrough,Middlesbrough,Riverside Stadium,"34,742",England,https://www.stadiumguide.com/riversidestadium/,"The Riverside Stadium was the first large modern English stadium to be constructed after the Taylor Report. It replaced the old Ayresome Park, which, being hemmed in by terraced housing, lacked the possibilities for expansion."
109,Newcastle-upon-Tyne,Newcastle United,St James Park,"52,339",England,https://www.stadiumguide.com/stjamespark/,"St James’ Park was first used for football in 1880, but was initially nothing more than a bare pitch."
110,Norwich,Norwich City,Carrow Road,"27,010",England,https://www.stadiumguide.com/carrowroad/,"Norwich quickly found a new site though, and in the weeks before the new season built a new stadium. Carrow Road opened on the 31st of August 1935 with a league match between Norwich and West Ham (4-3)."
111,Nottingham,Nottingham Forest,City Ground,"30,567",England,https://www.stadiumguide.com/cityground/,Nottingham Forest moved to the City Ground in 1898 after unsuccessfully trying to find a permanent home in previous decades.
112,Nottingham,Notts County,Meadow Lane,"20,300",England,https://www.stadiumguide.com/meadowlane/,"In their early years Notts County used to play at the Trent Bridge Cricket Ground, but when their lease was not renewed in 1910, they were forced to find a new ground. The club rented a site on the other side of the river Trent at Meadow Lane, which they got ready to play for the start of the 1910/11 season."
113,Oxford,Oxford United,The Kassam Stadium,"12,500",England,https://www.stadiumguide.com/kassam/,The Kassam Stadium finally opened on the 4th of August 2001 with a friendly match between Oxford and Crystal Palace (1-1).
114,Peterborough,Peterborough,ABAX Stadium,"14,084",England,https://www.stadiumguide.com/londonroadstadium/,"London Road Stadium has existed since 1913, but was initially nothing more than a small municipal stadium with one wooden stand and earth banking on the other sides."
115,Portsmouth,Portsmouth,Fratton Park,"21,178",England,https://www.stadiumguide.com/frattonpark/,Fratton Park has been the home of Portsmouth since they were founded in 1898. The first match at the ground was a friendly between Portsmouth and Southampton.
116,Preston,Preston North End,Deepdale,"23,404",England,https://www.stadiumguide.com/deepdale/,"Deepdale has been the home of Preston since 1875, which makes it the oldest continuous professional football ground in the world."
117,Reading,Reading,Madejski Stadium,"24,161",England,https://www.stadiumguide.com/madejski/,"Madejski Stadium replaced Reading’s previous ground Elm Park. It came at a cost of £50 million. The stadium opened on 22 August 1998 with a match between Reading and Luton Town (3-0), though the official opening was a few weeks later."
118,Rochdale,Rochdale AFC,Crown Oil Arena,"12,249",England,https://www.stadiumguide.com/crown-oil-arena/,Spotland Stadium got almost entirely rebuilt between 1992 and 2000 with three new stands on both sides and one end. The remaining Sandy Lane terrace behind the goal got extensively revamped.
119,Rotherham,Rotherham United,New York Stadium,"12,000",England,https://www.stadiumguide.com/newyorkstadium/,New York Stadium was built to provide Rotherham United with a new permanent home after they were forced to leave their traditional home Millmoor and temporarily move into Don Valley Stadium in Sheffield.
120,Scunthorpe,Scunthorpe United,Glanford Park,"9,088",England,https://www.stadiumguide.com/glanford-park/,Glanford Park got built in the 1980s to replace Scunthorpe’s Old Show Ground. It was the first new English Football League stadium to be built since Southend’s Roots Hall in 1955.
121,Sheffield,Sheffield United,Bramall Lane,"32,609",England,https://www.stadiumguide.com/bramalllane/,Bramall Lane is the oldest stadium in the world still hosting professional football matches.
122,Sheffield,Sheffield Wednesday,Hillsborough,"39,732",England,https://www.stadiumguide.com/hillsborough/,"Sheffield Wednesday moved to Hillsborough Stadium in 1899. They played their first match at their new ground on 2 September 1899 against Chesterfield (5-1). At that time, the stadium was still called Owlerton Stadium."
123,Shrewsbury,Shrewsbury Town,Montgomery Waters Stadium,"9,875",England,https://www.stadiumguide.com/montgomery-waters-meadow/,"Montgomery Waters Meadow, also known as New Meadow, was built in 2007 to replace Shrewsbury’s old Gay Meadow ground, which could not meet the standards of modern time."
124,Southampton,Southampton,St Mary's Stadium,"32,689",England,https://www.stadiumguide.com/stmarysstadium/,"St Mary’s Stadium has been the home of Southampton since 2001 when the club moved away from The Dell, where they had played for the previous 103 years."
